frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
27686,2025-11-21 06:30:45,salida,1272,car,128,137,110,123,146,151
35162,2025-11-21 06:39:04,salida,284,truck,138,140,119,117,157,163
57286,2025-11-21 07:03:39,salida,1956,truck,140,137,124,124,156,151
60606,2025-11-21 07:07:20,entrada,2043,car,131,141,111,128,152,155
87288,2025-11-21 07:36:59,salida,2951,car,138,140,120,127,156,154
95318,2025-11-21 07:45:54,salida,3526,truck,133,140,116,124,151,157
103984,2025-11-21 07:55:32,salida,1,car,137,140,120,125,154,156
106136,2025-11-21 07:57:55,salida,4352,car,134,140,117,126,152,155
106138,2025-11-21 07:57:55,entrada,4352,car,134,141,117,126,152,156
106140,2025-11-21 07:57:56,salida,4352,car,134,140,116,125,152,156
118746,2025-11-21 08:11:56,salida,5229,car,137,139,122,126,152,153
141078,2025-11-21 08:36:45,salida,3046,truck,144,139,129,125,160,154
141194,2025-11-21 08:36:52,entrada,6165,car,125,142,100,127,150,157
171524,2025-11-21 09:10:34,entrada,6532,truck,136,141,103,123,169,159
179494,2025-11-21 09:19:26,entrada,6629,truck,151,139,136,122,166,156
180832,2025-11-21 09:20:55,salida,6657,truck,142,139,124,123,161,155
212846,2025-11-21 09:56:29,salida,7168,truck,140,139,118,121,163,158
218820,2025-11-21 10:03:08,salida,7289,car,122,142,98,125,147,160
231028,2025-11-21 10:16:41,salida,7466,truck,128,141,105,120,151,162
238700,2025-11-21 10:25:13,salida,7552,truck,136,131,119,115,154,147
314160,2025-11-21 11:49:04,entrada,8354,truck,134,142,114,119,155,165
314832,2025-11-21 11:49:48,salida,8363,car,135,140,117,123,153,158
318760,2025-11-21 11:54:10,entrada,8417,car,143,140,111,121,176,159
322988,2025-11-21 11:58:52,entrada,8539,car,146,140,127,123,166,157
327010,2025-11-21 12:03:20,entrada,8675,car,133,141,109,120,157,163
331094,2025-11-21 12:07:52,salida,8795,car,140,139,121,119,160,160
338284,2025-11-21 12:15:52,entrada,8929,car,143,140,110,120,176,160
347214,2025-11-21 12:25:47,entrada,9139,car,140,141,109,124,171,159
348748,2025-11-21 12:27:29,entrada,9191,car,133,141,108,120,158,163
350868,2025-11-21 12:29:51,entrada,9268,car,136,141,100,121,172,161
351072,2025-11-21 12:30:04,salida,9284,truck,130,141,115,124,146,159
353192,2025-11-21 12:32:26,entrada,9345,truck,159,138,133,112,185,165
353674,2025-11-21 12:32:58,salida,9356,car,145,139,126,123,165,156
360302,2025-11-21 12:40:20,salida,9523,bus,129,138,113,118,146,159
364056,2025-11-21 12:44:30,salida,9601,car,139,139,121,123,158,156
365884,2025-11-21 12:46:32,salida,9407,car,139,139,122,122,156,157
367894,2025-11-21 12:48:46,entrada,9703,car,134,141,101,126,168,157
370978,2025-11-21 12:52:11,salida,9743,truck,143,139,126,124,160,155
371478,2025-11-21 12:52:45,entrada,9768,car,147,140,119,120,175,160
379086,2025-11-21 13:01:12,salida,9859,car,142,139,123,123,161,155
385802,2025-11-21 13:08:40,entrada,9991,car,130,142,99,121,161,163
396854,2025-11-21 13:20:56,salida,10328,car,140,138,121,121,159,155
397798,2025-11-21 13:21:59,entrada,10388,car,140,140,108,121,173,160
426252,2025-11-21 13:53:36,entrada,11047,car,148,140,113,121,183,160
475292,2025-11-21 14:48:06,salida,12040,truck,143,139,122,122,164,157
475716,2025-11-21 14:48:34,entrada,12067,car,139,140,117,121,162,159
479108,2025-11-21 14:52:20,salida,12167,car,136,140,114,122,158,159
483200,2025-11-21 14:56:53,salida,12262,truck,129,138,110,119,148,158
500918,2025-11-21 15:16:34,entrada,12659,truck,142,142,106,124,179,160
505784,2025-11-21 15:21:58,salida,12760,car,136,140,112,122,160,159
511618,2025-11-21 15:28:27,entrada,12908,truck,138,141,114,117,162,165
514874,2025-11-21 15:32:04,salida,13012,car,130,141,110,127,151,156
529522,2025-11-21 15:48:21,entrada,13322,car,144,140,108,120,180,160
549726,2025-11-21 16:10:48,salida,13333,car,135,140,117,123,153,158
556632,2025-11-21 16:18:28,entrada,14005,car,138,141,102,123,174,159
564072,2025-11-21 16:26:44,entrada,14113,car,137,141,104,123,171,159
578352,2025-11-21 16:42:36,entrada,14555,car,137,142,105,124,170,160
578972,2025-11-21 16:43:18,salida,14578,truck,141,139,124,124,158,154
579100,2025-11-21 16:43:26,entrada,14576,car,130,143,109,124,151,163
582680,2025-11-21 16:47:25,entrada,14712,car,130,142,103,123,157,162
596264,2025-11-21 17:02:30,entrada,15006,truck,140,140,119,124,161,157
599756,2025-11-21 17:06:23,salida,15093,car,128,141,110,126,146,157
613228,2025-11-21 17:21:21,entrada,15459,truck,129,144,97,124,162,164
614468,2025-11-21 17:22:44,entrada,15559,car,147,139,119,123,175,156
630312,2025-11-21 17:40:20,entrada,16194,car,137,141,108,126,167,156
638722,2025-11-21 17:49:41,entrada,16470,truck,145,141,129,124,162,158
639734,2025-11-21 17:50:48,entrada,16563,car,137,141,116,124,158,159
647196,2025-11-21 17:59:06,entrada,16767,car,132,141,103,126,162,157
660970,2025-11-21 18:14:24,entrada,17685,car,148,140,131,124,165,157
667548,2025-11-21 18:21:43,salida,18115,car,140,139,121,124,160,155
668104,2025-11-21 18:22:20,entrada,18171,car,135,141,103,123,168,159
669930,2025-11-21 18:24:22,entrada,18310,truck,148,140,128,124,168,157
681328,2025-11-21 18:37:01,entrada,19092,truck,152,139,134,118,171,160
682394,2025-11-21 18:38:12,salida,19112,bus,133,140,115,123,151,157
683520,2025-11-21 18:39:28,entrada,19239,truck,143,140,122,120,165,160
697266,2025-11-21 18:54:44,entrada,19598,car,140,140,121,123,160,157
706686,2025-11-21 19:05:12,salida,19933,truck,135,140,118,124,153,156
710766,2025-11-21 19:09:44,salida,20032,truck,139,140,125,125,154,156
712120,2025-11-21 19:11:14,entrada,20073,truck,144,141,128,125,161,157
712122,2025-11-21 19:11:14,entrada,20069,truck,144,142,125,126,164,158
717478,2025-11-21 19:17:11,entrada,20285,car,134,141,104,123,165,159
720136,2025-11-21 19:20:09,salida,20402,truck,144,138,130,125,158,152
723966,2025-11-21 19:24:24,salida,20673,car,138,140,121,126,156,154
724108,2025-11-21 19:24:33,entrada,20701,car,129,142,99,127,159,158
726868,2025-11-21 19:27:37,salida,20904,car,139,140,121,125,157,156
733138,2025-11-21 19:34:35,salida,21127,car,128,141,109,125,148,158
733790,2025-11-21 19:35:19,entrada,21180,truck,136,141,114,122,158,161
735318,2025-11-21 19:37:01,salida,21284,car,137,139,122,125,153,154
738822,2025-11-21 19:40:54,salida,21520,truck,124,142,101,123,148,162
744654,2025-11-21 19:47:23,salida,21912,car,137,140,119,124,156,157
744674,2025-11-21 19:47:24,salida,21927,car,142,131,125,116,159,147
750344,2025-11-21 19:53:42,entrada,22311,car,139,140,123,127,156,153
751186,2025-11-21 19:54:39,entrada,22359,truck,139,141,116,117,163,165
761616,2025-11-21 20:06:14,entrada,22611,car,127,142,98,124,157,161
761708,2025-11-21 20:06:20,entrada,22627,car,132,142,103,125,161,159
774458,2025-11-21 20:20:30,entrada,23115,car,148,139,117,118,180,160
795372,2025-11-21 20:43:44,entrada,24358,car,148,140,131,124,166,157
797946,2025-11-21 20:46:36,salida,24536,car,124,141,105,124,144,158
797946,2025-11-21 20:46:36,salida,24571,truck,124,140,105,123,144,158
805694,2025-11-21 20:55:12,entrada,24895,car,131,142,103,128,160,156
808574,2025-11-21 20:58:24,salida,25011,truck,143,139,127,126,159,152
