frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
25158,2025-12-01 06:27:57,salida,960,car,143,152,125,138,162,166
32708,2025-12-01 06:36:20,entrada,1254,car,143,153,114,139,173,167
43006,2025-12-01 06:47:47,salida,1471,car,140,153,123,139,157,168
49754,2025-12-01 06:55:16,salida,1676,car,149,151,133,139,165,164
52940,2025-12-01 06:58:49,salida,1730,car,149,151,130,135,168,168
55412,2025-12-01 07:01:34,salida,1794,truck,148,152,133,138,164,167
55414,2025-12-01 07:01:34,entrada,1794,truck,149,152,134,138,164,166
55422,2025-12-01 07:01:34,salida,1794,truck,149,149,135,136,164,163
69606,2025-12-01 07:17:20,entrada,2126,car,141,153,124,142,159,164
92916,2025-12-01 07:43:14,salida,3850,car,144,152,127,139,162,166
97564,2025-12-01 07:48:24,salida,4189,car,148,152,129,138,168,166
99440,2025-12-01 07:50:29,salida,4328,car,159,142,146,130,172,155
100576,2025-12-01 07:51:45,salida,4426,truck,148,152,134,139,162,166
106746,2025-12-01 07:58:36,entrada,4822,car,141,153,123,141,159,165
113222,2025-12-01 08:05:48,salida,4211,car,143,152,128,137,159,168
124594,2025-12-01 08:18:26,entrada,5906,truck,159,151,143,135,176,167
152286,2025-12-01 08:49:12,salida,7138,truck,150,151,133,135,167,168
179576,2025-12-01 09:19:31,salida,8177,truck,144,152,126,138,163,167
212670,2025-12-01 09:56:18,salida,9582,car,148,152,127,136,169,169
215876,2025-12-01 09:59:51,salida,9781,truck,148,152,132,136,165,169
215878,2025-12-01 09:59:51,entrada,9781,truck,147,153,130,135,165,171
215882,2025-12-01 09:59:52,salida,9781,truck,147,151,130,134,164,169
216874,2025-12-01 10:00:58,entrada,9809,car,146,153,119,136,174,170
243800,2025-12-01 10:30:53,salida,10689,car,139,153,121,138,158,168
245446,2025-12-01 10:32:43,salida,10858,car,155,151,138,137,172,166
252608,2025-12-01 10:40:40,salida,11181,car,152,150,134,135,170,165
267170,2025-12-01 10:56:51,entrada,11547,truck,140,154,116,132,164,176
267172,2025-12-01 10:56:51,salida,11547,car,139,153,118,132,161,174
267176,2025-12-01 10:56:51,entrada,11547,car,139,154,119,134,159,174
272022,2025-12-01 11:02:14,entrada,11721,truck,145,153,123,134,167,173
275256,2025-12-01 11:05:50,salida,11778,truck,142,152,123,134,161,171
285900,2025-12-01 11:17:40,entrada,11966,car,150,153,115,132,186,174
298808,2025-12-01 11:32:00,salida,12288,car,160,150,144,133,176,168
300486,2025-12-01 11:33:52,salida,12364,car,151,151,131,135,172,168
313544,2025-12-01 11:48:22,entrada,12715,car,141,154,117,134,165,174
320908,2025-12-01 11:56:33,entrada,12855,truck,167,160,136,130,199,191
322046,2025-12-01 11:57:49,salida,12904,truck,148,146,128,122,168,170
328506,2025-12-01 12:05:00,salida,13015,truck,140,153,119,135,161,172
328510,2025-12-01 12:05:00,entrada,13015,truck,139,154,119,136,160,172
328516,2025-12-01 12:05:01,salida,13015,car,139,153,119,136,159,171
339172,2025-12-01 12:16:51,entrada,13280,car,157,152,127,134,188,170
339300,2025-12-01 12:17:00,entrada,13308,car,149,153,115,135,183,171
343642,2025-12-01 12:21:49,entrada,13439,car,158,151,119,131,197,171
349836,2025-12-01 12:28:42,entrada,13594,car,142,154,106,136,179,173
355538,2025-12-01 12:35:02,salida,13277,truck,160,150,139,131,181,170
371374,2025-12-01 12:52:38,salida,14047,car,147,152,126,135,168,170
382060,2025-12-01 13:04:30,salida,13703,car,154,151,136,133,172,169
412304,2025-12-01 13:38:06,entrada,14785,car,150,152,125,137,175,167
412424,2025-12-01 13:38:14,entrada,14796,truck,150,153,113,127,187,179
424926,2025-12-01 13:52:08,entrada,14940,truck,164,150,147,125,181,176
430522,2025-12-01 13:58:21,salida,15073,car,144,152,128,138,160,166
430612,2025-12-01 13:58:27,salida,15082,truck,137,153,116,137,159,170
431908,2025-12-01 13:59:53,entrada,15148,car,143,154,106,135,180,173
446896,2025-12-01 14:16:33,entrada,15462,car,150,152,132,136,169,168
449890,2025-12-01 14:19:52,salida,15511,truck,147,152,119,132,176,173
454058,2025-12-01 14:24:30,entrada,15560,car,158,151,129,133,187,169
456860,2025-12-01 14:27:37,salida,15612,car,149,151,129,134,169,169
460676,2025-12-01 14:31:51,entrada,15658,car,139,154,114,135,164,173
460758,2025-12-01 14:31:57,entrada,15659,car,148,153,123,138,174,168
460820,2025-12-01 14:32:01,entrada,15668,car,152,152,124,135,180,169
475720,2025-12-01 14:48:34,salida,16012,truck,136,153,113,134,159,173
475746,2025-12-01 14:48:36,entrada,16012,car,134,154,113,137,156,171
475750,2025-12-01 14:48:36,salida,16012,car,134,153,112,136,157,171
475986,2025-12-01 14:48:52,entrada,16045,truck,142,156,127,132,158,181
480306,2025-12-01 14:53:40,entrada,16152,car,144,153,119,134,170,173
480858,2025-12-01 14:54:17,salida,16173,car,151,151,136,138,166,164
480936,2025-12-01 14:54:22,entrada,16173,car,150,152,133,140,167,164
480938,2025-12-01 14:54:22,salida,16173,car,149,151,131,138,167,164
485846,2025-12-01 14:59:49,salida,16423,truck,159,150,142,131,177,170
499838,2025-12-01 15:15:22,entrada,17006,truck,166,151,149,127,184,176
506362,2025-12-01 15:22:37,entrada,17271,car,152,152,125,135,180,170
536392,2025-12-01 15:55:59,entrada,18486,car,148,153,121,138,176,169
536620,2025-12-01 15:56:14,entrada,18498,truck,153,152,134,132,172,172
547164,2025-12-01 16:07:57,salida,18949,car,136,149,113,134,159,164
582188,2025-12-01 16:46:52,entrada,21186,car,145,153,118,140,172,166
585652,2025-12-01 16:50:43,salida,21377,truck,155,151,140,135,171,168
585698,2025-12-01 16:50:46,entrada,21377,car,155,154,144,142,167,167
585708,2025-12-01 16:50:47,salida,21377,car,155,151,141,137,170,166
592964,2025-12-01 16:58:50,salida,21747,car,153,151,138,137,169,166
618682,2025-12-01 17:27:25,salida,23371,car,139,153,119,139,160,168
622290,2025-12-01 17:31:26,salida,23537,car,156,151,139,138,173,165
623076,2025-12-01 17:32:18,entrada,23621,car,145,154,123,133,168,175
626146,2025-12-01 17:35:43,salida,23767,car,137,153,118,138,157,169
629462,2025-12-01 17:39:24,entrada,24028,car,142,154,118,140,167,168
646644,2025-12-01 17:58:29,entrada,25097,car,160,151,140,134,181,168
653146,2025-12-01 18:05:43,salida,25490,truck,142,152,126,139,159,166
658078,2025-12-01 18:11:11,entrada,25821,car,145,153,116,139,174,167
662424,2025-12-01 18:16:01,entrada,26163,car,144,153,114,138,175,168
664840,2025-12-01 18:18:42,salida,26174,truck,145,152,130,139,161,165
666720,2025-12-01 18:20:48,entrada,26487,car,149,152,117,134,182,171
666798,2025-12-01 18:20:53,entrada,26508,car,137,154,97,136,178,173
680568,2025-12-01 18:36:11,entrada,27240,car,138,154,110,136,167,172
687950,2025-12-01 18:44:23,salida,27618,car,147,152,129,137,166,168
688114,2025-12-01 18:44:34,salida,27624,truck,148,152,128,135,169,170
690624,2025-12-01 18:47:21,entrada,27784,car,141,154,112,137,171,172
691498,2025-12-01 18:48:19,salida,27807,car,153,151,136,135,171,167
691638,2025-12-01 18:48:29,salida,27861,car,149,151,131,137,167,166
691750,2025-12-01 18:48:36,entrada,27860,car,151,153,132,136,170,170
692710,2025-12-01 18:49:40,entrada,27935,car,144,154,112,138,177,170
696082,2025-12-01 18:53:25,salida,28184,truck,143,152,124,138,162,167
700882,2025-12-01 18:58:45,entrada,28520,car,137,154,109,140,166,168
701568,2025-12-01 18:59:31,entrada,28638,car,152,152,136,134,169,170
701568,2025-12-01 18:59:31,entrada,28622,truck,152,152,131,134,173,171
702644,2025-12-01 19:00:42,entrada,28713,car,151,152,131,136,171,168
704290,2025-12-01 19:02:32,salida,28844,truck,144,152,126,139,162,166
704442,2025-12-01 19:02:42,entrada,28879,car,147,153,106,133,189,173
712384,2025-12-01 19:11:32,salida,29422,car,150,151,131,134,170,169
713872,2025-12-01 19:13:11,entrada,29596,car,155,153,137,135,173,172
713872,2025-12-01 19:13:11,entrada,29603,truck,155,152,139,134,171,170
716210,2025-12-01 19:15:47,entrada,29779,car,150,152,122,137,178,167
717020,2025-12-01 19:16:41,entrada,29853,truck,151,152,131,131,171,174
730030,2025-12-01 19:31:08,entrada,30842,truck,141,153,123,133,160,173
744604,2025-12-01 19:47:20,salida,31973,car,145,152,129,138,162,166
751722,2025-12-01 19:55:14,entrada,32496,car,141,154,115,140,168,168
761076,2025-12-01 20:05:38,entrada,33224,car,140,154,110,137,171,172
769570,2025-12-01 20:15:04,entrada,33760,car,153,153,136,136,171,170
775702,2025-12-01 20:21:53,entrada,34136,truck,155,152,139,132,172,173
777124,2025-12-01 20:23:28,entrada,34238,car,151,152,120,136,183,169
780808,2025-12-01 20:27:33,salida,34461,car,145,152,127,136,163,169
786548,2025-12-01 20:33:56,salida,34765,car,153,151,140,138,166,164
790006,2025-12-01 20:37:47,entrada,35152,truck,151,152,133,133,170,171
790008,2025-12-01 20:37:47,entrada,34941,car,151,152,129,133,173,172
