frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
691572,2025-11-18 18:48:24,salida,15607,car,143,140,129,128,158,152
716728,2025-11-18 19:16:21,entrada,16095,car,135,142,105,128,166,156
733852,2025-11-18 19:35:23,entrada,16395,car,137,142,107,128,168,156
744246,2025-11-18 19:46:56,salida,16555,car,150,139,134,126,166,153
768516,2025-11-18 20:13:54,salida,17019,car,141,140,127,128,156,153
773268,2025-11-18 20:19:11,entrada,17130,car,135,142,101,125,170,159
774762,2025-11-18 20:20:50,entrada,17220,truck,135,143,97,124,173,162
774762,2025-11-18 20:20:50,entrada,17249,car,133,143,96,124,171,162
783324,2025-11-18 20:30:21,entrada,17760,car,132,142,104,129,161,156
789058,2025-11-18 20:36:43,entrada,18036,car,141,141,111,125,172,157
792196,2025-11-18 20:40:13,salida,18177,car,145,139,129,126,162,153
792266,2025-11-18 20:40:17,entrada,18208,car,135,142,103,127,168,158
797354,2025-11-18 20:45:56,entrada,18518,car,147,141,115,124,179,158
