timestamp,evento
2025-11-29 06:53:57,salida
2025-11-29 07:24:59,entrada
2025-11-29 07:43:06,salida
2025-11-29 07:43:50,salida
2025-11-29 08:19:40,salida
2025-11-29 08:24:20,salida
2025-11-29 08:25:30,salida
2025-11-29 09:13:58,salida
2025-11-29 09:28:43,salida
2025-11-29 09:32:47,salida
2025-11-29 09:37:34,salida
2025-11-29 09:49:00,salida
2025-11-29 10:33:56,salida
2025-11-29 10:34:08,entrada
2025-11-29 10:39:36,salida
2025-11-29 11:01:04,entrada
2025-11-29 11:11:05,salida
2025-11-29 11:14:28,salida
2025-11-29 11:38:51,entrada
2025-11-29 11:49:19,salida
2025-11-29 12:39:26,salida
2025-11-29 12:45:26,entrada
2025-11-29 13:04:55,entrada
2025-11-29 13:07:59,entrada
2025-11-29 13:08:10,entrada
2025-11-29 13:08:21,entrada
2025-11-29 13:08:45,entrada
2025-11-29 13:08:47,entrada
2025-11-29 13:41:05,entrada
2025-11-29 13:58:23,entrada
2025-11-29 14:02:07,salida
2025-11-29 14:09:10,salida
2025-11-29 14:16:47,entrada
2025-11-29 14:19:32,entrada
2025-11-29 14:27:51,salida
2025-11-29 14:27:52,entrada
2025-11-29 14:27:55,entrada
2025-11-29 14:55:48,entrada
2025-11-29 15:09:58,entrada
2025-11-29 15:21:05,entrada
2025-11-29 15:22:44,entrada
2025-11-29 15:23:58,entrada
2025-11-29 15:25:20,entrada
2025-11-29 15:27:37,salida
2025-11-29 15:27:43,salida
2025-11-29 15:34:19,entrada
2025-11-29 15:46:38,entrada
2025-11-29 15:59:25,salida
2025-11-29 16:32:53,entrada
2025-11-29 16:50:52,entrada
2025-11-29 17:11:14,salida
2025-11-29 17:18:34,salida
2025-11-29 17:19:52,salida
2025-11-29 17:29:01,entrada
2025-11-29 17:50:24,salida
2025-11-29 18:06:46,entrada
2025-11-29 18:08:54,salida
2025-11-29 18:30:08,salida
2025-11-29 18:39:03,salida
2025-11-29 18:56:46,salida
2025-11-29 19:06:53,salida
2025-11-29 20:09:37,salida
2025-11-29 20:22:54,entrada
2025-11-29 20:23:18,entrada
2025-11-29 20:26:30,salida
2025-11-29 20:39:00,entrada
2025-11-29 20:43:20,entrada
2025-11-29 20:43:26,entrada
2025-11-29 20:55:43,salida
