timestamp,evento
2025-11-21 06:30:45,salida
2025-11-21 06:39:04,salida
2025-11-21 07:03:39,salida
2025-11-21 07:07:20,entrada
2025-11-21 07:36:59,salida
2025-11-21 07:45:54,salida
2025-11-21 07:55:32,salida
2025-11-21 07:57:55,salida
2025-11-21 07:57:56,salida
2025-11-21 08:11:56,salida
2025-11-21 08:36:45,salida
2025-11-21 08:36:52,entrada
2025-11-21 09:10:34,entrada
2025-11-21 09:19:26,entrada
2025-11-21 09:20:55,salida
2025-11-21 09:56:29,salida
2025-11-21 10:03:08,salida
2025-11-21 10:16:41,salida
2025-11-21 10:25:13,salida
2025-11-21 11:49:04,entrada
2025-11-21 11:49:48,salida
2025-11-21 11:54:10,entrada
2025-11-21 11:58:52,entrada
2025-11-21 12:03:20,entrada
2025-11-21 12:07:52,salida
2025-11-21 12:15:52,entrada
2025-11-21 12:25:47,entrada
2025-11-21 12:27:29,entrada
2025-11-21 12:29:51,entrada
2025-11-21 12:30:04,salida
2025-11-21 12:32:26,entrada
2025-11-21 12:32:58,salida
2025-11-21 12:40:20,salida
2025-11-21 12:44:30,salida
2025-11-21 12:46:32,salida
2025-11-21 12:48:46,entrada
2025-11-21 12:52:11,salida
2025-11-21 12:52:45,entrada
2025-11-21 13:01:12,salida
2025-11-21 13:08:40,entrada
2025-11-21 13:20:56,salida
2025-11-21 13:21:59,entrada
2025-11-21 13:53:36,entrada
2025-11-21 14:48:06,salida
2025-11-21 14:48:34,entrada
2025-11-21 14:52:20,salida
2025-11-21 14:56:53,salida
2025-11-21 15:16:34,entrada
2025-11-21 15:21:58,salida
2025-11-21 15:28:27,entrada
2025-11-21 15:32:04,salida
2025-11-21 15:48:21,entrada
2025-11-21 16:10:48,salida
2025-11-21 16:18:28,entrada
2025-11-21 16:26:44,entrada
2025-11-21 16:42:36,entrada
2025-11-21 16:43:18,salida
2025-11-21 16:43:26,entrada
2025-11-21 16:47:25,entrada
2025-11-21 17:02:30,entrada
2025-11-21 17:06:23,salida
2025-11-21 17:21:21,entrada
2025-11-21 17:22:44,entrada
2025-11-21 17:40:20,entrada
2025-11-21 17:49:41,entrada
2025-11-21 17:50:48,entrada
2025-11-21 17:59:06,entrada
2025-11-21 18:14:24,entrada
2025-11-21 18:21:43,salida
2025-11-21 18:22:20,entrada
2025-11-21 18:24:22,entrada
2025-11-21 18:37:01,entrada
2025-11-21 18:38:12,salida
2025-11-21 18:39:28,entrada
2025-11-21 18:54:44,entrada
2025-11-21 19:05:12,salida
2025-11-21 19:09:44,salida
2025-11-21 19:11:14,entrada
2025-11-21 19:17:11,entrada
2025-11-21 19:20:09,salida
2025-11-21 19:24:24,salida
2025-11-21 19:24:33,entrada
2025-11-21 19:27:37,salida
2025-11-21 19:34:35,salida
2025-11-21 19:35:19,entrada
2025-11-21 19:37:01,salida
2025-11-21 19:40:54,salida
2025-11-21 19:47:23,salida
2025-11-21 19:47:24,salida
2025-11-21 19:53:42,entrada
2025-11-21 19:54:39,entrada
2025-11-21 20:06:14,entrada
2025-11-21 20:06:20,entrada
2025-11-21 20:20:30,entrada
2025-11-21 20:43:44,entrada
2025-11-21 20:46:36,salida
2025-11-21 20:55:12,entrada
2025-11-21 20:58:24,salida
