timestamp,evento
2025-11-30 08:02:26,entrada
2025-11-30 09:38:45,salida
2025-11-30 10:04:41,salida
2025-11-30 11:13:14,entrada
2025-11-30 11:15:35,salida
2025-11-30 11:33:56,entrada
2025-11-30 11:35:53,salida
2025-11-30 11:42:38,entrada
2025-11-30 11:42:44,entrada
2025-11-30 11:43:28,salida
2025-11-30 12:03:16,salida
2025-11-30 12:28:06,salida
2025-11-30 12:51:13,entrada
2025-11-30 12:54:01,entrada
2025-11-30 13:01:04,salida
2025-11-30 13:01:09,salida
2025-11-30 13:13:52,salida
2025-11-30 13:36:24,entrada
2025-11-30 13:59:18,entrada
2025-11-30 14:00:08,salida
2025-11-30 14:17:28,salida
2025-11-30 14:35:18,salida
2025-11-30 14:39:12,salida
2025-11-30 14:53:44,salida
2025-11-30 14:55:45,entrada
2025-11-30 15:20:28,entrada
2025-11-30 15:20:51,entrada
2025-11-30 15:28:15,salida
2025-11-30 15:39:59,salida
2025-11-30 15:40:12,entrada
2025-11-30 15:42:12,salida
2025-11-30 15:52:42,salida
2025-11-30 15:57:23,salida
2025-11-30 16:01:20,entrada
2025-11-30 16:08:23,entrada
2025-11-30 16:27:07,entrada
2025-11-30 16:39:05,salida
2025-11-30 16:51:20,entrada
2025-11-30 16:55:04,salida
2025-11-30 17:06:47,entrada
2025-11-30 17:07:02,salida
2025-11-30 17:51:13,salida
2025-11-30 18:02:30,entrada
2025-11-30 18:09:21,entrada
2025-11-30 18:15:45,salida
2025-11-30 18:19:23,salida
2025-11-30 18:36:42,salida
2025-11-30 18:52:42,entrada
2025-11-30 18:57:22,entrada
2025-11-30 19:01:50,entrada
2025-11-30 19:14:29,salida
2025-11-30 19:24:58,entrada
2025-11-30 19:26:13,salida
2025-11-30 19:41:43,entrada
2025-11-30 19:57:57,salida
2025-11-30 20:10:04,entrada
2025-11-30 20:13:11,entrada
2025-11-30 20:14:20,entrada
2025-11-30 20:30:03,entrada
2025-11-30 20:43:48,entrada
2025-11-30 20:48:05,entrada
2025-11-30 20:55:47,entrada
