frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
18888,2025-11-12 06:20:59,salida,820,truck,155,164,137,150,174,179
31234,2025-11-12 06:34:42,entrada,1511,car,155,165,125,151,186,180
37008,2025-11-12 06:41:07,salida,1868,bus,162,164,141,142,183,187
41078,2025-11-12 06:45:38,entrada,2106,car,155,165,127,152,184,179
57718,2025-11-12 07:04:07,salida,3009,truck,161,164,144,148,178,181
62598,2025-11-12 07:09:33,salida,3323,truck,153,165,138,150,168,181
65412,2025-11-12 07:12:40,salida,3529,car,149,165,132,153,167,178
78656,2025-11-12 07:27:23,salida,4502,truck,158,164,141,150,175,178
90886,2025-11-12 07:40:59,salida,5465,car,156,164,138,151,174,178
104684,2025-11-12 07:56:18,salida,6827,truck,160,164,142,150,179,179
105742,2025-11-12 07:57:29,entrada,6993,truck,163,164,130,147,196,182
106406,2025-11-12 07:58:13,salida,7011,truck,153,164,136,149,170,180
108576,2025-11-12 08:00:38,salida,7286,truck,155,164,135,148,176,181
112088,2025-11-12 08:04:32,salida,7664,truck,156,164,142,150,171,178
131858,2025-11-12 08:26:30,salida,8699,car,164,163,146,150,182,177
137582,2025-11-12 08:32:52,salida,8949,truck,161,164,141,148,181,181
142242,2025-11-12 08:38:02,entrada,9089,truck,146,167,121,149,172,186
147528,2025-11-12 08:43:55,salida,9187,truck,157,164,139,147,176,181
164312,2025-11-12 09:02:34,salida,9439,truck,157,163,142,149,173,177
164408,2025-11-12 09:02:40,salida,9448,truck,155,164,138,149,173,179
191444,2025-11-12 09:32:42,salida,9652,truck,167,163,152,150,183,177
192102,2025-11-12 09:33:26,salida,9667,car,144,161,128,148,161,175
310372,2025-11-12 11:44:51,salida,11302,truck,157,164,140,146,174,182
311744,2025-11-12 11:46:22,entrada,11336,car,167,164,138,146,197,183
330954,2025-11-12 12:07:43,entrada,11682,truck,171,164,151,142,192,186
336250,2025-11-12 12:13:36,entrada,11822,truck,170,165,144,141,196,189
360098,2025-11-12 12:40:06,entrada,12313,truck,162,164,144,147,181,181
362802,2025-11-12 12:43:06,entrada,12454,truck,153,166,130,143,177,190
367974,2025-11-12 12:48:51,salida,12578,truck,163,163,147,148,180,178
399704,2025-11-12 13:24:06,entrada,13425,car,168,164,137,145,199,183
400356,2025-11-12 13:24:50,salida,13436,truck,160,164,144,149,177,180
439420,2025-11-12 14:08:14,entrada,14720,car,164,164,146,146,183,182
444826,2025-11-12 14:14:15,entrada,15011,car,163,164,136,148,191,180
463966,2025-11-12 14:35:31,salida,15591,truck,156,164,140,148,173,181
479000,2025-11-12 14:52:13,salida,16209,truck,159,164,139,146,179,182
482038,2025-11-12 14:55:35,entrada,16264,truck,167,164,148,145,186,183
493692,2025-11-12 15:08:32,salida,16625,truck,162,161,141,145,183,177
499788,2025-11-12 15:15:19,entrada,16847,car,163,164,130,146,196,182
503920,2025-11-12 15:19:54,salida,17013,car,163,161,148,147,178,175
520126,2025-11-12 15:37:55,entrada,17453,truck,162,164,143,148,181,180
531476,2025-11-12 15:50:31,entrada,17823,car,162,165,129,149,196,181
535596,2025-11-12 15:55:06,entrada,17925,car,163,164,134,149,192,179
542064,2025-11-12 16:02:17,entrada,18106,car,155,165,117,146,194,185
543766,2025-11-12 16:04:11,salida,18131,car,160,162,140,147,181,178
549184,2025-11-12 16:10:12,entrada,18306,car,166,164,128,144,204,184
568084,2025-11-12 16:31:12,salida,18882,truck,155,165,135,147,175,183
570244,2025-11-12 16:33:36,salida,18976,truck,159,164,142,147,177,181
571928,2025-11-12 16:35:28,salida,19030,car,160,164,144,150,177,179
574250,2025-11-12 16:38:03,entrada,19099,truck,165,164,148,144,183,185
581120,2025-11-12 16:45:41,salida,19309,car,160,158,145,145,175,171
602002,2025-11-12 17:08:53,entrada,19865,car,167,164,147,146,187,183
618096,2025-11-12 17:26:46,entrada,20372,car,175,163,154,145,196,182
624810,2025-11-12 17:34:14,entrada,20612,car,154,166,118,147,190,185
647978,2025-11-12 17:59:58,entrada,21043,car,156,165,138,149,174,181
650282,2025-11-12 18:02:32,entrada,21110,truck,158,165,121,147,195,183
650382,2025-11-12 18:02:38,entrada,21115,truck,167,164,148,145,186,184
651604,2025-11-12 18:04:00,salida,21210,car,167,162,151,149,184,176
655688,2025-11-12 18:08:32,salida,21374,car,170,163,153,148,187,179
664932,2025-11-12 18:18:48,entrada,21724,truck,163,164,143,145,184,183
670348,2025-11-12 18:24:49,salida,21916,truck,158,164,140,149,177,180
689242,2025-11-12 18:45:49,entrada,22404,car,165,167,131,147,200,187
691554,2025-11-12 18:48:23,entrada,22509,car,163,165,131,149,195,182
696392,2025-11-12 18:53:46,entrada,22645,truck,165,164,145,143,186,185
698892,2025-11-12 18:56:32,entrada,22724,truck,167,165,144,144,191,187
699626,2025-11-12 18:57:21,salida,22741,car,163,163,147,150,179,176
700404,2025-11-12 18:58:13,entrada,22764,car,172,163,156,145,188,181
