timestamp,evento
2025-11-17 06:41:22,salida
2025-11-17 06:44:02,salida
2025-11-17 06:49:27,entrada
2025-11-17 06:49:36,salida
2025-11-17 06:54:32,salida
2025-11-17 07:12:02,salida
2025-11-17 07:12:07,salida
2025-11-17 07:18:46,salida
2025-11-17 07:30:57,salida
2025-11-17 07:35:20,entrada
2025-11-17 07:44:22,salida
2025-11-17 07:52:06,salida
2025-11-17 07:55:11,entrada
2025-11-17 08:03:27,entrada
2025-11-17 08:05:47,entrada
2025-11-17 08:24:16,salida
2025-11-17 08:24:27,salida
2025-11-17 08:48:53,salida
2025-11-17 08:56:41,salida
2025-11-17 09:00:32,salida
2025-11-17 09:01:54,salida
2025-11-17 09:01:57,entrada
2025-11-17 09:07:35,salida
2025-11-17 09:34:03,entrada
2025-11-17 09:42:46,entrada
2025-11-17 09:53:29,salida
2025-11-17 09:58:13,entrada
2025-11-17 10:29:33,salida
2025-11-17 10:40:30,salida
2025-11-17 10:40:36,salida
2025-11-17 10:56:05,entrada
2025-11-17 11:12:27,salida
2025-11-17 11:14:52,entrada
2025-11-17 11:25:57,entrada
2025-11-17 11:37:27,salida
2025-11-17 11:47:58,entrada
2025-11-17 12:05:15,entrada
2025-11-17 12:05:57,salida
2025-11-17 12:10:30,entrada
2025-11-17 12:15:02,entrada
2025-11-17 12:19:46,salida
2025-11-17 12:23:17,salida
2025-11-17 12:23:55,salida
2025-11-17 12:35:03,entrada
2025-11-17 12:54:08,entrada
2025-11-17 13:13:34,entrada
2025-11-17 13:17:53,salida
2025-11-17 13:37:09,entrada
2025-11-17 13:53:29,entrada
2025-11-17 13:59:36,entrada
2025-11-17 14:09:26,entrada
2025-11-17 14:10:41,salida
2025-11-17 14:16:32,entrada
2025-11-17 14:19:38,entrada
2025-11-17 14:21:38,entrada
2025-11-17 14:29:01,salida
2025-11-17 15:11:19,salida
2025-11-17 15:17:29,salida
2025-11-17 15:17:38,entrada
2025-11-17 15:20:10,salida
2025-11-17 15:25:39,entrada
2025-11-17 15:38:08,salida
2025-11-17 15:44:19,entrada
2025-11-17 15:50:44,entrada
2025-11-17 15:54:09,salida
2025-11-17 15:58:22,salida
2025-11-17 16:21:13,entrada
2025-11-17 16:23:41,salida
2025-11-17 16:26:27,entrada
2025-11-17 16:39:37,entrada
2025-11-17 16:39:42,entrada
2025-11-17 16:41:29,entrada
2025-11-17 16:48:10,entrada
2025-11-17 16:52:47,salida
2025-11-17 16:54:16,entrada
2025-11-17 16:58:57,entrada
2025-11-17 17:21:14,entrada
2025-11-17 17:30:51,salida
2025-11-17 17:32:36,salida
2025-11-17 17:39:24,entrada
2025-11-17 17:42:01,salida
2025-11-17 17:51:50,salida
2025-11-17 17:56:53,entrada
2025-11-17 17:56:58,entrada
2025-11-17 18:01:01,entrada
2025-11-17 18:02:36,entrada
2025-11-17 18:02:46,entrada
2025-11-17 18:11:04,entrada
2025-11-17 18:12:43,entrada
2025-11-17 18:25:20,entrada
2025-11-17 18:33:50,entrada
2025-11-17 18:44:03,entrada
2025-11-17 18:44:10,entrada
2025-11-17 18:44:49,entrada
2025-11-17 18:46:44,salida
2025-11-17 18:56:14,salida
2025-11-17 19:02:26,entrada
2025-11-17 19:05:41,entrada
2025-11-17 19:08:42,salida
2025-11-17 19:15:12,entrada
2025-11-17 19:19:30,entrada
2025-11-17 19:45:19,entrada
2025-11-17 19:46:48,salida
2025-11-17 19:48:35,entrada
2025-11-17 19:53:39,salida
2025-11-17 20:00:56,entrada
2025-11-17 20:02:54,salida
2025-11-17 20:03:04,salida
2025-11-17 20:03:05,entrada
2025-11-17 20:13:04,entrada
2025-11-17 20:14:51,entrada
2025-11-17 20:23:32,salida
2025-11-17 20:41:22,salida
2025-11-17 20:49:46,entrada
2025-11-17 20:53:49,entrada
