frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
13118,2025-11-13 06:14:34,entrada,380,truck,158,165,136,146,180,184
38242,2025-11-13 06:42:29,entrada,1209,car,155,165,129,151,181,179
38568,2025-11-13 06:42:51,salida,1238,car,162,163,146,150,179,177
42106,2025-11-13 06:46:47,salida,1374,car,158,164,142,151,175,178
42274,2025-11-13 06:46:58,salida,1408,car,157,164,138,149,177,179
49338,2025-11-13 06:54:49,salida,1755,car,155,165,137,152,173,179
52996,2025-11-13 06:58:53,salida,1914,truck,162,164,144,147,181,182
71454,2025-11-13 07:19:23,salida,289,bus,152,164,135,145,170,184
74722,2025-11-13 07:23:01,salida,2816,car,163,163,148,150,178,177
75966,2025-11-13 07:24:24,salida,2892,truck,159,164,143,151,176,178
92212,2025-11-13 07:42:27,salida,4283,car,161,164,145,151,177,178
95164,2025-11-13 07:45:44,salida,4511,car,159,164,138,148,180,181
100982,2025-11-13 07:52:12,salida,259,car,152,165,136,151,169,179
114224,2025-11-13 08:06:54,salida,6225,truck,160,164,140,147,180,181
121532,2025-11-13 08:15:02,entrada,6606,car,157,165,123,147,191,184
143598,2025-11-13 08:39:33,salida,7247,truck,161,164,147,150,175,179
145806,2025-11-13 08:42:00,salida,7466,truck,167,163,144,140,191,187
145828,2025-11-13 08:42:01,salida,7466,truck,167,163,144,140,191,187
156134,2025-11-13 08:53:28,salida,7776,truck,162,162,141,145,183,179
157416,2025-11-13 08:54:54,salida,7801,truck,161,160,141,146,181,175
165590,2025-11-13 09:03:59,salida,7866,truck,155,164,136,148,174,180
173558,2025-11-13 09:12:50,salida,7986,car,165,161,148,147,182,175
232204,2025-11-13 10:18:00,entrada,8942,truck,158,166,131,142,185,190
239582,2025-11-13 10:26:12,salida,9176,truck,158,160,136,142,181,179
251102,2025-11-13 10:39:00,entrada,9703,car,160,169,131,150,189,189
269064,2025-11-13 10:58:57,entrada,10381,truck,172,163,142,141,203,186
280168,2025-11-13 11:11:17,salida,10652,truck,155,165,136,146,174,184
