frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
32996,2025-11-23 06:36:39,salida,2162,truck,130,140,113,121,148,160
159520,2025-11-23 08:57:14,salida,8357,truck,132,140,114,125,150,156
195442,2025-11-23 09:37:09,salida,9584,truck,135,138,116,122,155,154
243110,2025-11-23 10:30:07,entrada,10707,car,147,139,122,122,173,157
255168,2025-11-23 10:43:31,entrada,11280,truck,146,141,128,122,165,160
308478,2025-11-23 11:42:45,salida,14197,truck,125,141,108,123,143,159
314810,2025-11-23 11:49:47,entrada,14576,truck,138,143,117,120,160,166
336460,2025-11-23 12:13:50,salida,15707,car,130,141,112,125,149,158
371352,2025-11-23 12:52:36,entrada,17466,truck,144,140,126,117,163,164
389324,2025-11-23 13:12:34,entrada,18128,car,138,142,117,122,160,162
394000,2025-11-23 13:17:46,entrada,18297,car,143,140,112,123,175,158
409478,2025-11-23 13:34:58,entrada,18812,car,134,142,95,121,174,163
418780,2025-11-23 13:45:18,salida,19019,car,126,141,111,126,142,157
419422,2025-11-23 13:46:01,salida,19156,car,133,140,115,124,152,157
425382,2025-11-23 13:52:38,salida,19371,truck,147,132,131,112,163,152
452276,2025-11-23 14:22:31,salida,20430,car,134,140,116,124,153,157
459708,2025-11-23 14:30:47,salida,20853,car,124,142,106,127,143,157
459856,2025-11-23 14:30:57,salida,20867,car,123,137,106,123,140,151
498502,2025-11-23 15:13:53,entrada,21791,car,135,141,102,124,168,158
527522,2025-11-23 15:46:08,entrada,22643,car,132,141,99,125,165,157
553792,2025-11-23 16:15:19,salida,23396,truck,146,139,127,123,166,156
557428,2025-11-23 16:19:21,salida,23534,car,152,138,133,126,172,151
561342,2025-11-23 16:23:42,entrada,23675,car,102,145,67,132,137,158
561416,2025-11-23 16:23:47,entrada,23675,car,102,145,67,132,137,158
561662,2025-11-23 16:24:04,entrada,23675,car,102,146,67,133,137,159
562010,2025-11-23 16:24:27,entrada,23675,car,102,145,67,132,137,158
562392,2025-11-23 16:24:52,salida,23739,truck,100,145,68,131,133,160
562482,2025-11-23 16:24:58,entrada,23739,truck,103,146,63,130,144,163
563184,2025-11-23 16:25:45,salida,23774,car,147,138,128,126,166,151
583868,2025-11-23 16:48:44,salida,24805,car,142,139,126,126,158,153
608900,2025-11-23 17:16:33,salida,25557,car,145,138,128,126,162,151
649898,2025-11-23 18:02:06,entrada,26320,car,103,145,75,134,131,157
652248,2025-11-23 18:04:43,salida,26389,car,143,137,128,123,159,152
658292,2025-11-23 18:11:26,salida,26739,car,108,143,88,130,128,157
659886,2025-11-23 18:13:12,entrada,26913,truck,147,140,128,119,166,162
663326,2025-11-23 18:17:01,entrada,27180,truck,107,145,75,131,140,159
679942,2025-11-23 18:35:29,salida,27568,car,111,143,90,128,133,158
687412,2025-11-23 18:43:47,salida,27755,car,117,142,94,127,141,158
699010,2025-11-23 18:56:40,entrada,28123,truck,95,147,66,133,124,162
700246,2025-11-23 18:58:03,entrada,28228,car,137,142,114,125,161,159
727606,2025-11-23 19:28:27,salida,29451,car,104,144,78,133,131,156
727910,2025-11-23 19:28:47,entrada,29451,car,105,145,77,134,133,156
728996,2025-11-23 19:29:59,salida,29401,car,105,144,87,133,123,156
770212,2025-11-23 20:15:47,salida,31341,car,149,138,133,125,166,152
771598,2025-11-23 20:17:19,entrada,31436,truck,96,146,59,131,133,162
771846,2025-11-23 20:17:36,entrada,31452,truck,95,147,57,131,133,163
772270,2025-11-23 20:18:04,entrada,31469,truck,96,146,60,131,132,161
772928,2025-11-23 20:18:48,salida,31479,truck,100,145,68,131,133,160
773100,2025-11-23 20:19:00,salida,31481,truck,96,145,61,131,131,160
773198,2025-11-23 20:19:06,salida,31484,truck,96,145,61,130,131,160
773340,2025-11-23 20:19:16,entrada,31487,truck,96,146,61,131,132,162
773532,2025-11-23 20:19:28,salida,31492,truck,96,145,61,131,131,160
773932,2025-11-23 20:19:55,entrada,31494,truck,97,146,63,132,132,161
774072,2025-11-23 20:20:04,entrada,31494,truck,96,146,60,131,132,161
774384,2025-11-23 20:20:25,entrada,31494,truck,94,146,59,131,130,162
792222,2025-11-23 20:40:14,salida,29122,car,88,144,66,130,111,159
797344,2025-11-23 20:45:56,entrada,32642,car,140,140,119,125,162,155
799992,2025-11-23 20:48:52,entrada,32799,car,137,141,118,126,156,156
800178,2025-11-23 20:49:05,salida,32772,car,116,142,92,128,141,157
804832,2025-11-23 20:54:15,entrada,33197,car,140,141,120,126,160,157
