timestamp,evento
2025-11-11 06:49:19,salida
2025-11-11 06:58:17,salida
2025-11-11 07:00:43,salida
2025-11-11 07:18:38,salida
2025-11-11 07:18:39,entrada
2025-11-11 07:20:39,salida
2025-11-11 07:38:54,salida
2025-11-11 07:58:16,entrada
2025-11-11 08:03:40,salida
2025-11-11 08:15:51,salida
2025-11-11 08:16:51,salida
2025-11-11 08:18:00,salida
2025-11-11 08:25:10,salida
2025-11-11 08:25:47,salida
2025-11-11 08:37:50,entrada
2025-11-11 08:41:55,salida
2025-11-11 08:42:00,salida
2025-11-11 09:14:18,salida
2025-11-11 09:22:37,salida
2025-11-11 09:29:26,salida
2025-11-11 09:37:11,salida
2025-11-11 09:37:17,entrada
2025-11-11 09:42:56,salida
2025-11-11 09:43:49,entrada
2025-11-11 10:05:45,salida
2025-11-11 10:05:46,salida
2025-11-11 10:37:16,entrada
2025-11-11 10:43:09,salida
2025-11-11 10:49:55,salida
2025-11-11 11:00:20,entrada
2025-11-11 11:06:58,salida
2025-11-11 11:13:39,entrada
2025-11-11 11:35:33,entrada
2025-11-11 11:42:17,salida
2025-11-11 11:45:34,salida
2025-11-11 12:04:44,salida
2025-11-11 12:11:16,entrada
2025-11-11 12:17:49,entrada
2025-11-11 12:18:24,entrada
2025-11-11 12:37:33,entrada
2025-11-11 12:40:25,entrada
2025-11-11 12:40:26,salida
2025-11-11 12:56:19,entrada
2025-11-11 13:25:55,salida
2025-11-11 13:30:52,salida
2025-11-11 13:38:33,entrada
2025-11-11 13:50:56,salida
2025-11-11 13:52:59,entrada
2025-11-11 14:06:10,entrada
2025-11-11 14:15:02,entrada
2025-11-11 14:21:36,salida
2025-11-11 14:30:56,salida
2025-11-11 14:33:43,entrada
2025-11-11 14:33:52,entrada
2025-11-11 14:36:53,entrada
2025-11-11 14:36:58,entrada
2025-11-11 14:39:12,salida
2025-11-11 14:42:07,salida
2025-11-11 14:50:52,salida
2025-11-11 15:10:39,salida
2025-11-11 15:10:55,salida
2025-11-11 15:11:00,salida
2025-11-11 15:13:34,salida
2025-11-11 15:18:02,entrada
2025-11-11 15:18:08,entrada
2025-11-11 15:22:17,entrada
2025-11-11 15:39:34,salida
2025-11-11 15:48:47,salida
2025-11-11 15:55:57,salida
2025-11-11 16:01:28,entrada
2025-11-11 16:02:12,salida
2025-11-11 16:06:00,salida
2025-11-11 16:06:12,entrada
2025-11-11 16:06:34,entrada
2025-11-11 16:06:35,salida
2025-11-11 16:14:44,salida
2025-11-11 16:17:18,entrada
2025-11-11 16:17:25,entrada
2025-11-11 16:22:34,salida
2025-11-11 16:25:39,entrada
2025-11-11 16:36:37,entrada
2025-11-11 16:51:13,entrada
2025-11-11 16:53:26,salida
2025-11-11 16:54:15,entrada
2025-11-11 16:54:25,salida
2025-11-11 17:04:32,entrada
2025-11-11 17:21:48,salida
2025-11-11 17:34:39,entrada
2025-11-11 17:34:40,entrada
2025-11-11 17:39:47,entrada
2025-11-11 17:40:39,entrada
2025-11-11 17:43:10,salida
2025-11-11 17:43:55,salida
2025-11-11 17:56:50,entrada
2025-11-11 18:00:57,entrada
2025-11-11 18:01:36,entrada
2025-11-11 18:02:22,entrada
2025-11-11 18:16:43,entrada
2025-11-11 18:19:20,entrada
2025-11-11 18:20:42,entrada
2025-11-11 18:27:23,salida
2025-11-11 18:30:46,entrada
2025-11-11 18:31:37,salida
2025-11-11 18:35:18,entrada
2025-11-11 18:36:23,salida
2025-11-11 18:36:38,entrada
2025-11-11 18:37:28,salida
2025-11-11 18:40:11,salida
2025-11-11 18:44:55,entrada
2025-11-11 18:45:48,salida
2025-11-11 18:46:32,entrada
2025-11-11 18:48:51,salida
2025-11-11 19:02:18,entrada
2025-11-11 19:05:34,entrada
2025-11-11 19:17:51,entrada
2025-11-11 19:20:38,salida
2025-11-11 19:22:01,salida
2025-11-11 19:36:13,entrada
2025-11-11 19:36:58,entrada
2025-11-11 19:46:56,entrada
2025-11-11 19:55:10,entrada
2025-11-11 20:20:18,salida
2025-11-11 20:26:05,entrada
2025-11-11 20:31:27,entrada
2025-11-11 20:31:28,salida
2025-11-11 20:41:19,entrada
2025-11-11 20:45:04,salida
2025-11-11 20:47:03,entrada
2025-11-11 20:47:23,salida
2025-11-11 20:55:30,entrada
