timestamp,evento
2025-11-18 06:35:49,entrada
2025-11-18 06:42:23,salida
2025-11-18 06:45:08,salida
2025-11-18 06:51:40,salida
2025-11-18 07:03:53,salida
2025-11-18 07:18:01,salida
2025-11-18 07:25:06,salida
2025-11-18 07:30:17,entrada
2025-11-18 07:38:56,salida
2025-11-18 07:45:56,entrada
2025-11-18 07:51:23,salida
2025-11-18 07:53:54,salida
2025-11-18 08:06:54,salida
2025-11-18 08:07:07,salida
2025-11-18 08:12:30,entrada
2025-11-18 08:43:54,salida
2025-11-18 08:52:22,salida
2025-11-18 09:17:08,salida
2025-11-18 09:34:48,entrada
2025-11-18 10:00:31,salida
2025-11-18 10:09:16,salida
2025-11-18 10:09:17,salida
2025-11-18 10:20:34,salida
2025-11-18 10:31:30,salida
2025-11-18 10:35:27,salida
2025-11-18 11:15:32,salida
2025-11-18 11:43:02,salida
2025-11-18 11:59:13,entrada
2025-11-18 12:08:03,salida
2025-11-18 12:20:34,entrada
2025-11-18 12:21:27,entrada
2025-11-18 12:30:43,entrada
2025-11-18 12:31:25,entrada
2025-11-18 12:40:01,entrada
2025-11-18 12:54:50,entrada
2025-11-18 12:58:05,entrada
2025-11-18 13:16:36,entrada
2025-11-18 13:17:53,entrada
2025-11-18 13:21:14,salida
2025-11-18 13:21:23,entrada
2025-11-18 13:25:13,salida
2025-11-18 13:27:04,entrada
2025-11-18 13:32:38,salida
2025-11-18 13:34:02,entrada
2025-11-18 14:02:32,salida
2025-11-18 14:02:33,entrada
2025-11-18 14:02:34,salida
2025-11-18 14:20:47,entrada
2025-11-18 14:33:24,entrada
2025-11-18 14:34:14,entrada
2025-11-18 14:37:36,entrada
2025-11-18 15:08:24,salida
2025-11-18 15:27:03,entrada
2025-11-18 15:29:21,entrada
2025-11-18 15:40:17,salida
2025-11-18 15:58:29,entrada
2025-11-18 15:59:01,salida
2025-11-18 16:00:48,salida
2025-11-18 16:10:39,salida
2025-11-18 16:12:27,salida
2025-11-18 16:12:38,entrada
2025-11-18 16:24:26,entrada
2025-11-18 16:32:02,salida
2025-11-18 16:32:11,salida
2025-11-18 16:58:40,salida
2025-11-18 17:05:18,entrada
2025-11-18 17:24:35,salida
2025-11-18 17:24:44,entrada
2025-11-18 17:27:11,entrada
2025-11-18 17:30:06,entrada
2025-11-18 17:44:19,entrada
2025-11-18 17:47:17,salida
2025-11-18 18:00:23,entrada
2025-11-18 18:03:33,entrada
2025-11-18 18:06:09,entrada
2025-11-18 18:09:35,entrada
2025-11-18 18:21:26,entrada
2025-11-18 18:35:08,salida
2025-11-18 18:45:37,entrada
2025-11-18 18:48:24,salida
2025-11-18 19:16:21,entrada
2025-11-18 19:35:23,entrada
2025-11-18 19:46:56,salida
2025-11-18 20:13:54,salida
2025-11-18 20:19:11,entrada
2025-11-18 20:20:50,entrada
2025-11-18 20:30:21,entrada
2025-11-18 20:36:43,entrada
2025-11-18 20:40:13,salida
2025-11-18 20:45:56,entrada
