frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
70322,2025-11-16 07:18:08,salida,1248,truck,140,140,123,124,157,157
91610,2025-11-16 07:41:47,salida,1641,car,132,141,113,128,151,155
95908,2025-11-16 07:46:33,salida,1749,car,131,141,113,129,150,154
145228,2025-11-16 08:41:21,salida,3302,truck,147,138,134,123,161,154
172430,2025-11-16 09:11:35,entrada,3776,car,138,142,112,125,164,160
190868,2025-11-16 09:32:04,entrada,4318,truck,151,139,136,122,167,156
208282,2025-11-16 09:51:25,salida,4662,truck,147,133,129,116,165,151
246554,2025-11-16 10:33:56,entrada,5777,truck,136,143,98,121,174,166
273692,2025-11-16 11:04:06,salida,6790,truck,135,141,118,122,153,160
296178,2025-11-16 11:29:05,salida,7512,truck,140,140,123,122,157,159
298900,2025-11-16 11:32:06,entrada,7687,car,135,142,103,122,168,162
301984,2025-11-16 11:35:32,salida,7875,truck,139,140,121,121,158,160
303840,2025-11-16 11:37:36,salida,7937,truck,141,140,123,122,160,159
312380,2025-11-16 11:47:05,entrada,8257,car,141,141,112,125,171,157
316268,2025-11-16 11:51:24,entrada,8405,car,144,141,114,123,175,159
319602,2025-11-16 11:55:06,salida,8268,truck,135,141,117,125,153,158
324288,2025-11-16 12:00:19,salida,8750,truck,147,139,131,123,164,155
324380,2025-11-16 12:00:25,entrada,8873,truck,148,146,109,124,188,169
325328,2025-11-16 12:01:28,entrada,8924,car,145,141,115,123,175,159
331064,2025-11-16 12:07:50,salida,9203,truck,144,139,126,122,162,156
341016,2025-11-16 12:18:54,salida,9714,truck,137,141,116,118,159,164
341968,2025-11-16 12:19:57,salida,8932,truck,142,140,126,123,158,158
345184,2025-11-16 12:23:32,salida,9941,truck,139,140,124,125,155,156
345932,2025-11-16 12:24:22,salida,9957,truck,146,139,130,125,162,154
348226,2025-11-16 12:26:55,entrada,10101,car,151,139,117,121,186,158
355168,2025-11-16 12:34:37,salida,10388,truck,145,139,127,122,163,157
362932,2025-11-16 12:43:15,salida,10671,truck,143,140,126,124,160,157
363686,2025-11-16 12:44:05,entrada,10785,car,136,142,103,126,170,159
380130,2025-11-16 13:02:22,salida,11484,car,148,139,129,122,167,157
382190,2025-11-16 13:04:39,salida,11578,car,144,138,125,121,163,156
384044,2025-11-16 13:06:42,entrada,11613,car,139,141,111,124,168,158
393316,2025-11-16 13:17:01,entrada,11787,truck,144,140,126,120,163,160
401960,2025-11-16 13:26:37,entrada,11962,car,140,141,110,125,170,158
403870,2025-11-16 13:28:44,entrada,12039,car,143,141,114,125,173,157
409042,2025-11-16 13:34:29,entrada,12226,car,138,141,105,124,171,158
412496,2025-11-16 13:38:19,salida,12039,car,139,140,120,125,158,156
415282,2025-11-16 13:41:25,entrada,12459,car,146,140,128,121,165,159
418182,2025-11-16 13:44:38,entrada,12690,car,151,143,115,123,188,164
422986,2025-11-16 13:49:59,salida,12893,car,143,140,123,123,164,158
432730,2025-11-16 14:00:48,salida,13308,truck,139,140,121,123,157,158
433406,2025-11-16 14:01:33,entrada,13355,truck,138,141,108,122,169,160
435964,2025-11-16 14:04:24,salida,13469,car,143,139,125,125,162,154
437574,2025-11-16 14:06:11,salida,13508,car,149,139,132,125,166,154
461454,2025-11-16 14:32:43,salida,14209,truck,145,139,125,125,165,154
472192,2025-11-16 14:44:39,salida,14525,car,143,140,123,122,164,159
491110,2025-11-16 15:05:40,entrada,15134,car,148,140,127,124,170,156
496814,2025-11-16 15:12:00,entrada,15298,car,140,142,109,122,171,162
510046,2025-11-16 15:26:43,entrada,15755,car,157,143,126,128,189,158
