frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
44376,2025-11-11 06:49:19,salida,1261,truck,137,179,121,166,154,192
52436,2025-11-11 06:58:17,salida,1558,truck,141,177,122,163,160,192
54638,2025-11-11 07:00:43,salida,1668,car,151,177,134,162,168,193
70750,2025-11-11 07:18:38,salida,1,car,134,181,119,168,150,194
72560,2025-11-11 07:20:39,salida,2476,car,136,181,119,168,153,194
88982,2025-11-11 07:38:54,salida,3250,car,148,180,133,167,163,194
106412,2025-11-11 07:58:16,entrada,4634,car,139,181,119,168,160,194
111258,2025-11-11 08:03:40,salida,4907,truck,150,177,130,158,171,197
122230,2025-11-11 08:15:51,salida,5478,car,138,181,118,166,158,197
123130,2025-11-11 08:16:51,salida,5539,truck,144,179,127,162,161,196
124160,2025-11-11 08:18:00,salida,5591,car,142,180,125,167,160,194
130612,2025-11-11 08:25:10,salida,6020,truck,144,180,125,162,164,199
131162,2025-11-11 08:25:47,salida,6062,car,149,180,133,167,165,194
142004,2025-11-11 08:37:50,entrada,6748,car,139,182,109,165,170,200
145674,2025-11-11 08:41:55,salida,6949,car,141,178,126,165,156,192
145752,2025-11-11 08:42:00,salida,6805,car,149,173,133,157,165,190
174816,2025-11-11 09:14:18,salida,8870,car,137,181,119,168,155,195
182294,2025-11-11 09:22:37,salida,9115,truck,144,177,127,162,162,192
188428,2025-11-11 09:29:26,salida,9481,truck,157,173,143,157,171,190
195402,2025-11-11 09:37:11,salida,9839,car,142,178,127,162,158,195
195486,2025-11-11 09:37:17,entrada,9864,car,141,183,111,169,172,198
200562,2025-11-11 09:42:56,salida,10113,car,140,180,124,167,156,193
201364,2025-11-11 09:43:49,entrada,10168,car,153,180,131,161,175,200
221100,2025-11-11 10:05:45,salida,11226,truck,149,179,132,161,166,198
249452,2025-11-11 10:37:16,entrada,12547,car,153,180,130,162,177,199
254750,2025-11-11 10:43:09,salida,12850,truck,150,179,133,162,167,197
260826,2025-11-11 10:49:55,salida,13166,car,144,178,126,164,163,193
270196,2025-11-11 11:00:20,entrada,13673,car,153,180,122,162,185,199
276172,2025-11-11 11:06:58,salida,14039,truck,146,180,130,164,163,197
282178,2025-11-11 11:13:39,entrada,14368,truck,159,179,142,162,177,196
301892,2025-11-11 11:35:33,entrada,15632,car,151,181,121,164,181,198
307944,2025-11-11 11:42:17,salida,15885,car,151,179,133,165,170,193
310894,2025-11-11 11:45:34,salida,15966,truck,153,179,135,162,172,197
328138,2025-11-11 12:04:44,salida,16723,truck,141,180,126,163,157,198
334010,2025-11-11 12:11:16,entrada,16994,truck,160,179,143,160,178,198
339908,2025-11-11 12:17:49,entrada,17355,car,141,182,114,161,169,203
340436,2025-11-11 12:18:24,entrada,17441,truck,155,181,135,160,175,202
357670,2025-11-11 12:37:33,entrada,18334,car,157,179,140,161,175,197
360242,2025-11-11 12:40:25,entrada,18504,truck,149,180,133,162,166,199
374552,2025-11-11 12:56:19,entrada,19310,car,141,182,110,163,173,202
401174,2025-11-11 13:25:55,salida,20476,truck,146,180,128,164,165,197
405622,2025-11-11 13:30:52,salida,20776,truck,146,180,125,160,168,201
412542,2025-11-11 13:38:33,entrada,20977,truck,151,181,129,159,174,203
423676,2025-11-11 13:50:56,salida,21292,car,150,178,132,160,169,196
425520,2025-11-11 13:52:59,entrada,21365,truck,162,180,143,155,182,205
437388,2025-11-11 14:06:10,entrada,21652,car,152,180,122,161,183,199
445360,2025-11-11 14:15:02,entrada,21793,car,154,181,127,165,182,197
451270,2025-11-11 14:21:36,salida,21922,truck,155,179,136,163,174,195
