timestamp,evento
2025-11-16 07:18:08,salida
2025-11-16 07:41:47,salida
2025-11-16 07:46:33,salida
2025-11-16 08:41:21,salida
2025-11-16 09:11:35,entrada
2025-11-16 09:32:04,entrada
2025-11-16 09:51:25,salida
2025-11-16 10:33:56,entrada
2025-11-16 11:04:06,salida
2025-11-16 11:29:05,salida
2025-11-16 11:32:06,entrada
2025-11-16 11:35:32,salida
2025-11-16 11:37:36,salida
2025-11-16 11:47:05,entrada
2025-11-16 11:51:24,entrada
2025-11-16 11:55:06,salida
2025-11-16 12:00:19,salida
2025-11-16 12:00:25,entrada
2025-11-16 12:01:28,entrada
2025-11-16 12:07:50,salida
2025-11-16 12:18:54,salida
2025-11-16 12:19:57,salida
2025-11-16 12:23:32,salida
2025-11-16 12:24:22,salida
2025-11-16 12:26:55,entrada
2025-11-16 12:34:37,salida
2025-11-16 12:43:15,salida
2025-11-16 12:44:05,entrada
2025-11-16 13:02:22,salida
2025-11-16 13:04:39,salida
2025-11-16 13:06:42,entrada
2025-11-16 13:17:01,entrada
2025-11-16 13:26:37,entrada
2025-11-16 13:28:44,entrada
2025-11-16 13:34:29,entrada
2025-11-16 13:38:19,salida
2025-11-16 13:41:25,entrada
2025-11-16 13:44:38,entrada
2025-11-16 13:49:59,salida
2025-11-16 14:00:48,salida
2025-11-16 14:01:33,entrada
2025-11-16 14:04:24,salida
2025-11-16 14:06:11,salida
2025-11-16 14:32:43,salida
2025-11-16 14:44:39,salida
2025-11-16 15:05:40,entrada
2025-11-16 15:12:00,entrada
2025-11-16 15:26:43,entrada
2025-11-16 15:37:44,entrada
2025-11-16 15:47:09,salida
2025-11-16 16:04:36,salida
2025-11-16 16:09:54,entrada
2025-11-16 16:36:12,salida
2025-11-16 16:46:25,entrada
2025-11-16 16:47:57,entrada
2025-11-16 16:51:52,salida
2025-11-16 16:55:01,entrada
2025-11-16 16:55:07,entrada
2025-11-16 16:58:54,salida
2025-11-16 16:59:43,salida
2025-11-16 17:08:26,entrada
2025-11-16 17:16:47,entrada
2025-11-16 17:26:49,salida
2025-11-16 17:27:55,salida
2025-11-16 17:42:40,entrada
2025-11-16 18:22:13,entrada
2025-11-16 18:23:04,entrada
2025-11-16 18:26:40,entrada
2025-11-16 18:32:32,entrada
2025-11-16 18:40:07,salida
2025-11-16 18:40:15,entrada
2025-11-16 18:45:58,salida
2025-11-16 18:57:08,entrada
2025-11-16 19:01:54,entrada
2025-11-16 19:17:04,entrada
2025-11-16 19:20:33,entrada
2025-11-16 19:21:50,salida
2025-11-16 19:27:55,entrada
2025-11-16 19:31:01,entrada
2025-11-16 19:48:26,entrada
2025-11-16 19:57:03,salida
2025-11-16 19:57:16,entrada
2025-11-16 20:05:09,salida
2025-11-16 20:08:23,salida
2025-11-16 20:13:07,entrada
2025-11-16 20:23:59,entrada
2025-11-16 20:32:20,entrada
2025-11-16 20:37:53,entrada
2025-11-16 20:44:27,entrada
2025-11-16 20:56:01,entrada
