timestamp,evento
2025-11-25 06:16:15,salida
2025-11-25 06:23:22,salida
2025-11-25 06:48:01,entrada
2025-11-25 06:58:54,salida
2025-11-25 07:20:14,salida
2025-11-25 07:20:19,salida
2025-11-25 07:20:33,salida
2025-11-25 07:25:26,salida
2025-11-25 07:28:36,salida
2025-11-25 07:39:16,salida
2025-11-25 07:41:47,salida
2025-11-25 08:04:05,salida
2025-11-25 08:04:33,salida
2025-11-25 08:11:00,salida
2025-11-25 08:14:34,entrada
2025-11-25 08:17:35,salida
2025-11-25 08:24:28,entrada
2025-11-25 08:31:41,salida
2025-11-25 08:48:48,entrada
2025-11-25 08:54:28,entrada
2025-11-25 09:51:19,entrada
2025-11-25 09:59:04,salida
2025-11-25 10:35:28,salida
2025-11-25 11:22:24,entrada
2025-11-25 11:27:41,salida
2025-11-25 11:36:49,salida
2025-11-25 11:46:59,entrada
2025-11-25 11:48:53,salida
2025-11-25 12:02:59,entrada
2025-11-25 12:06:40,entrada
2025-11-25 12:08:47,salida
2025-11-25 12:08:48,entrada
2025-11-25 12:08:54,salida
2025-11-25 12:09:38,salida
2025-11-25 12:11:35,entrada
2025-11-25 12:50:38,salida
2025-11-25 12:55:49,entrada
2025-11-25 12:56:02,salida
2025-11-25 13:01:41,entrada
2025-11-25 13:01:51,entrada
2025-11-25 13:18:00,entrada
2025-11-25 13:20:52,salida
2025-11-25 13:34:58,salida
2025-11-25 13:57:04,entrada
2025-11-25 14:04:19,salida
2025-11-25 14:09:26,salida
2025-11-25 14:22:16,salida
2025-11-25 14:22:58,entrada
2025-11-25 14:28:16,salida
2025-11-25 14:38:31,entrada
2025-11-25 14:44:48,salida
2025-11-25 15:03:35,entrada
2025-11-25 15:08:26,salida
2025-11-25 15:16:47,entrada
2025-11-25 15:44:18,entrada
2025-11-25 15:49:23,entrada
2025-11-25 15:53:09,entrada
2025-11-25 15:58:13,salida
2025-11-25 16:02:47,entrada
2025-11-25 16:26:42,salida
2025-11-25 16:34:56,entrada
2025-11-25 16:42:37,entrada
2025-11-25 16:44:15,salida
2025-11-25 16:46:06,entrada
2025-11-25 16:53:49,salida
2025-11-25 17:00:27,entrada
2025-11-25 17:37:08,entrada
2025-11-25 17:40:40,salida
2025-11-25 17:43:15,entrada
2025-11-25 17:46:44,entrada
2025-11-25 17:57:49,salida
2025-11-25 18:00:26,entrada
2025-11-25 18:14:38,entrada
2025-11-25 18:19:40,entrada
2025-11-25 18:25:29,entrada
2025-11-25 18:29:05,entrada
2025-11-25 18:46:06,salida
2025-11-25 18:48:32,salida
2025-11-25 18:59:10,salida
2025-11-25 19:02:01,entrada
2025-11-25 19:05:54,entrada
2025-11-25 19:06:26,entrada
2025-11-25 19:12:31,salida
2025-11-25 19:12:32,entrada
2025-11-25 19:16:03,entrada
2025-11-25 19:23:43,salida
2025-11-25 19:24:26,entrada
2025-11-25 19:26:09,salida
2025-11-25 19:42:34,salida
2025-11-25 19:47:09,salida
2025-11-25 19:59:41,entrada
2025-11-25 20:10:39,salida
2025-11-25 20:10:55,entrada
2025-11-25 20:14:53,entrada
2025-11-25 20:26:39,salida
2025-11-25 20:29:28,entrada
2025-11-25 20:40:50,entrada
2025-11-25 20:44:37,salida
2025-11-25 20:46:01,entrada
