frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
109940,2025-11-15 08:02:09,salida,1684,car,134,141,117,129,152,154
155330,2025-11-15 08:52:35,salida,2432,truck,143,140,129,126,157,154
193282,2025-11-15 09:34:45,salida,3336,car,137,141,117,126,158,157
197994,2025-11-15 09:39:59,salida,3452,car,138,140,122,127,155,154
202332,2025-11-15 09:44:48,entrada,3564,car,141,141,110,125,173,157
209834,2025-11-15 09:53:08,salida,3724,car,131,141,109,129,154,154
219282,2025-11-15 10:03:38,salida,3995,car,123,142,103,131,143,154
227858,2025-11-15 10:13:10,salida,1,truck,140,140,124,126,157,155
236406,2025-11-15 10:22:40,entrada,4340,car,150,140,133,124,167,156
238208,2025-11-15 10:24:40,salida,4430,truck,147,139,132,126,162,153
252084,2025-11-15 10:40:05,salida,4651,truck,153,138,140,122,167,154
264994,2025-11-15 10:54:26,salida,4900,truck,146,139,127,121,166,158
266410,2025-11-15 10:56:00,salida,4934,truck,140,139,126,125,154,154
269778,2025-11-15 10:59:45,entrada,5018,truck,152,139,136,124,168,154
270026,2025-11-15 11:00:01,salida,5029,car,139,140,118,127,161,154
270646,2025-11-15 11:00:43,salida,5045,car,146,139,134,127,159,152
280822,2025-11-15 11:12:01,entrada,5384,car,149,140,133,124,165,156
300838,2025-11-15 11:34:15,salida,5986,car,144,139,127,125,161,154
306160,2025-11-15 11:40:10,entrada,6228,car,137,142,111,126,164,159
306266,2025-11-15 11:40:17,entrada,6239,car,130,142,109,130,151,154
322092,2025-11-15 11:57:52,salida,7313,car,142,140,123,125,162,156
326902,2025-11-15 12:03:13,salida,6228,truck,145,139,130,125,161,153
330546,2025-11-15 12:07:16,entrada,7594,car,135,143,97,125,174,161
364150,2025-11-15 12:44:36,entrada,8694,car,146,140,116,123,176,157
388552,2025-11-15 13:11:43,entrada,10287,car,144,140,112,125,177,156
392748,2025-11-15 13:16:23,entrada,10538,car,137,142,110,128,165,156
398534,2025-11-15 13:22:48,entrada,10938,truck,140,141,94,114,186,169
405522,2025-11-15 13:30:34,entrada,11283,car,136,142,106,127,166,157
406940,2025-11-15 13:32:09,entrada,11515,car,138,141,106,125,170,158
413770,2025-11-15 13:39:44,entrada,11934,car,138,141,110,127,167,155
428134,2025-11-15 13:55:42,salida,12803,truck,144,139,122,114,167,165
436528,2025-11-15 14:05:01,salida,13828,car,143,136,130,124,157,149
448100,2025-11-15 14:17:53,entrada,14929,truck,144,141,109,123,179,159
