timestamp,evento
2025-11-15 08:02:09,salida
2025-11-15 08:52:35,salida
2025-11-15 09:34:45,salida
2025-11-15 09:39:59,salida
2025-11-15 09:44:48,entrada
2025-11-15 09:53:08,salida
2025-11-15 10:03:38,salida
2025-11-15 10:13:10,salida
2025-11-15 10:22:40,entrada
2025-11-15 10:24:40,salida
2025-11-15 10:40:05,salida
2025-11-15 10:54:26,salida
2025-11-15 10:56:00,salida
2025-11-15 10:59:45,entrada
2025-11-15 11:00:01,salida
2025-11-15 11:00:43,salida
2025-11-15 11:12:01,entrada
2025-11-15 11:34:15,salida
2025-11-15 11:40:10,entrada
2025-11-15 11:40:17,entrada
2025-11-15 11:57:52,salida
2025-11-15 12:03:13,salida
2025-11-15 12:07:16,entrada
2025-11-15 12:44:36,entrada
2025-11-15 13:11:43,entrada
2025-11-15 13:16:23,entrada
2025-11-15 13:22:48,entrada
2025-11-15 13:30:34,entrada
2025-11-15 13:32:09,entrada
2025-11-15 13:39:44,entrada
2025-11-15 13:55:42,salida
2025-11-15 13:55:43,salida
2025-11-15 14:05:01,salida
2025-11-15 14:17:53,entrada
2025-11-15 14:38:48,entrada
2025-11-15 14:45:45,salida
2025-11-15 14:45:53,entrada
2025-11-15 14:50:05,salida
2025-11-15 15:05:08,entrada
2025-11-15 15:07:40,salida
2025-11-15 15:11:49,salida
2025-11-15 15:27:09,salida
2025-11-15 15:32:36,entrada
2025-11-15 15:37:40,salida
2025-11-15 15:52:45,entrada
2025-11-15 16:05:21,entrada
2025-11-15 16:07:22,salida
2025-11-15 16:07:30,salida
2025-11-15 16:15:31,entrada
2025-11-15 16:17:47,salida
2025-11-15 16:23:03,entrada
2025-11-15 16:29:54,entrada
2025-11-15 16:45:56,entrada
2025-11-15 16:54:42,entrada
2025-11-15 16:58:31,salida
2025-11-15 17:01:10,entrada
2025-11-15 17:03:05,entrada
2025-11-15 17:04:35,entrada
2025-11-15 17:10:56,salida
2025-11-15 17:30:15,entrada
2025-11-15 17:40:29,salida
2025-11-15 17:41:10,entrada
2025-11-15 17:49:46,entrada
2025-11-15 17:51:00,salida
2025-11-15 18:01:06,salida
2025-11-15 18:01:46,salida
2025-11-15 18:04:02,entrada
2025-11-15 18:13:25,entrada
2025-11-15 18:39:44,entrada
2025-11-15 18:59:51,entrada
2025-11-15 19:02:10,entrada
2025-11-15 19:02:16,entrada
2025-11-15 19:09:20,entrada
2025-11-15 19:27:48,salida
2025-11-15 19:53:23,salida
2025-11-15 20:14:58,salida
2025-11-15 20:15:06,entrada
2025-11-15 20:16:30,entrada
2025-11-15 20:28:46,entrada
2025-11-15 20:35:42,entrada
2025-11-15 20:43:36,entrada
2025-11-15 20:46:01,entrada
2025-11-15 20:48:16,entrada
2025-11-15 20:49:10,salida
2025-11-15 20:51:12,entrada
2025-11-15 20:55:37,salida
